242,PGUA100JAR100,Guaydel Jarabe x 1 Fco. x 100 ml.,si,guaydel-jarabe-x-1-fco-x-100-ml
243,PHIBAGUHIP21GX100,Aguja Hipodérmica 21G Caja x 100 Unidades,si,aguja-hipodrmica-21g-caja-x-100-unidades
244,PHIBAGUHIP23GX100,Aguja Hipodérmica 23G Caja x 100 Unidades,si,aguja-hipodrmica-23g-caja-x-100-unidades
249,PHIBALG100G,Algodon de 100 g. en rollo,si,algodon-de-100-g-en-rollo
250,PHIBALG200G,Algodon de 200 g. en rollo,si,algodon-de-200-g-en-rollo
251,PHIBALG400G,Algodon de 400 g. en rollo,si,algodon-de-400-g-en-rollo
252,PHIBALG_10G,Algodon de 10 g. en bolsa,si,algodon-de-10-g-en-bolsa
253,PHIBALG_50G,Algodon de 50 g. en bolsa,si,algodon-de-50-g-en-bolsa
254,PHIBALMALG__1,Almohadillas de Algodón 58 mm Paq x 100 Unidades,si,almohadillas-de-algodn-58-mm-paq-x-100-unidades
255,PHIBAPOADHTRAX__1,Apósito Adhesivo Transparente x 1 Unidad,si,apsito-adhesivo-transparente-x-1-unidad
256,PHIBBANADHMICX100,Banda Adhesiva Microperforada x 100 Unidades,si,banda-adhesiva-microperforada-x-100-unidades
258,PHIBBOLCOLORIADU2000CCX__1,Bolsa Colectora de Orina Adultos 2000cc x 1 Unidad,si,bolsa-colectora-de-orina-adultos-2000cc-x-1-unidad
259,PHIBBOLCOLORIPED200CCX__1,Bolsa Colectora de Orina Pediatrico 200cc x 1 Unidad,si,bolsa-colectora-de-orina-pediatrico-200cc-x-1-unidad
260,PHIBBOLMORCOM__1,Bolsa Mortuoria Kit Completo 2.3m x 1m x 1 Unidad,si,bolsa-mortuoria-kit-completo-23m-x-1m-x-1-unidad
261,PHIBBOLMORSIM__1,Bolsa Mortuoria Kit Simple 2.3m x 1m x 1 Unidad,si,bolsa-mortuoria-kit-simple-23m-x-1m-x-1-unidad
262,PHIBBRA18GTIPLAPX__1,Bránula 18G Tipo Lápiz x 1 Unidad,si,brnula-18g-tipo-lpiz-x-1-unidad
263,PHIBBRA18GTIPMARX__1,Bránula 18G Tipo Mariposa x 1 Unidad,si,brnula-18g-tipo-mariposa-x-1-unidad
264,PHIBBRA20GTIPLAPX__1,Bránula 20G Tipo Lápiz x 1 Unidad,si,brnula-20g-tipo-lpiz-x-1-unidad
265,PHIBBRA20GTIPMARX__1,Bránula 20G Tipo Mariposa x 1 Unidad,si,brnula-20g-tipo-mariposa-x-1-unidad
266,PHIBBRA22GTIPLAPX__1,Bránula 22G Tipo Lápiz x 1 Unidad,si,brnula-22g-tipo-lpiz-x-1-unidad
267,PHIBBRA22GTIPMARX__1,Bránula 22G Tipo Mariposa x 1 Unidad,si,brnula-22g-tipo-mariposa-x-1-unidad
268,PHIBBRA24GTIPLAPX__1,Bránula 24G Tipo Lápiz x 1 Unidad,si,brnula-24g-tipo-lpiz-x-1-unidad
269,PHIBBRA24GTIPMARX__1,Bránula 24G Tipo Mariposa x 1 Unidad,si,brnula-24g-tipo-mariposa-x-1-unidad
270,PHIBCINADHDISPIE125X10X__1,Cinta Adhesiva Microdermik Con Dispensador Color Piel 1.25cm x 10yds x 1 Unidad,si,cinta-adhesiva-microdermik-con-dispensador-color-piel-125cm-x-10yds-x-1-unidad
271,PHIBCINADHDISPIE25X10X__1,Cinta Adhesiva Microdermik Con Dispensador Color Piel 2.5cm x 10yds x 1 Unidad,si,cinta-adhesiva-microdermik-con-dispensador-color-piel-25cm-x-10yds-x-1-unidad
272,PHIBCINADHDISPIE5X10X__1,Cinta Adhesiva Microdermik Con Dispensador Color Piel 5cm x 10yds x 1 Unidad,si,cinta-adhesiva-microdermik-con-dispensador-color-piel-5cm-x-10yds-x-1-unidad
273,PHIBCINADHDISTRA25X10__1,Cinta Adhesiva Polietileno Con Dispensador Transparente 2.5cm x 10yds Caja x 1 Unidad,si,cinta-adhesiva-polietileno-con-dispensador-transparente-25cm-x-10yds-caja-x-1-unidad
274,PHIBCINADHPIE125X10_24,Cinta Adhesiva Microdermik Color Piel 1.25cm x 10yds Caja x 24 Unidades,si,cinta-adhesiva-microdermik-color-piel-125cm-x-10yds-caja-x-24-unidades
275,PHIBCINADHPIE125X5_24,Cinta Adhesiva Microdermik Color Piel 1.25cm x 5yds Caja x 24 Unidades,si,cinta-adhesiva-microdermik-color-piel-125cm-x-5yds-caja-x-24-unidades
276,PHIBCINADHPIE25X10_12,Cinta Adhesiva Microdermik Color Piel 2.5cm x 10yds Caja x 12 Unidades,si,cinta-adhesiva-microdermik-color-piel-25cm-x-10yds-caja-x-12-unidades
277,PHIBCINADHPIE5X10__6,Cinta Adhesiva Microdermik Color Piel 5cm x 10yds Caja x 6 Unidades,si,cinta-adhesiva-microdermik-color-piel-5cm-x-10yds-caja-x-6-unidades
282,PHIBCINKINCEL5X5_1,Cinta Kinesiológica Celeste 5cm x 5cm Caja x 1 Unidad,si,cinta-kinesiolgica-celeste-5cm-x-5cm-caja-x-1-unidad
283,PHIBCINKINFUX5X5_1,Cinta Kinesiológica Fuxia/Rosa 5cm x 5cm Caja x 1 Unidad,si,cinta-kinesiolgica-fuxiarosa-5cm-x-5cm-caja-x-1-unidad
284,PHIBCINKINNEG5X5_1,Cinta Kinesiológica Negra 5cm x 5cm Caja x 1 Unidad,si,cinta-kinesiolgica-negra-5cm-x-5cm-caja-x-1-unidad
285,PHIBCINKINROJ5X5_1,Cinta Kinesiológica Roja 5cm x 5cm Caja x 1 Unidad,si,cinta-kinesiolgica-roja-5cm-x-5cm-caja-x-1-unidad
